m,x,y,h,rho
0.02,-0.7185402288502923,-0.16236220403817406,0.12649110640673517,1
0.02,-0.44461195273038795,-0.2777451155300049,0.12649110640673517,1
0.02,-0.5217646464611629,0.15097908367067125,0.12649110640673517,1
0.02,-0.3773696609727322,-0.5102812355733798,0.12649110640673517,1
0.02,-0.314159071143053,-0.3116149240684811,0.12649110640673517,1
0.02,0.11470860209830012,-0.6594230995041654,0.12649110640673517,1
0.02,0.10275955436236145,-0.0663987192409916,0.12649110640673517,1
0.02,0.5781981558913841,-0.461611440876467,0.12649110640673517,1
0.02,0.6644537155327276,-0.03597202527383164,0.12649110640673517,1
0.02,-0.014834214151512523,0.07748072808096712,0.12649110640673517,1
0.02,-0.048020723951730064,0.2665787207839335,0.12649110640673517,1
0.02,0.45590949800060027,-0.06049182874982959,0.12649110640673517,1
0.02,0.46334176862327,0.10674589446558848,0.12649110640673517,1
0.02,-0.33674925155031477,0.2546261737639618,0.12649110640673517,1
0.02,-0.2960705065191865,-0.26997444648736085,0.12649110640673517,1
0.02,0.33644240992573893,-0.39415347224034325,0.12649110640673517,1
0.02,-0.039213325593065756,-0.7273149915280445,0.12649110640673517,1
0.02,-0.26180666635812083,0.30673229775413546,0.12649110640673517,1
0.02,-0.369075239715335,0.2246123790688843,0.12649110640673517,1
0.02,-0.07400892655340437,-0.08342169631717083,0.12649110640673517,1
0.02,0.42567457196394815,0.0611007923986723,0.12649110640673517,1
0.02,-0.36084297834308376,0.3354616590363061,0.12649110640673517,1
0.02,-0.7302483172232834,0.11547979979687538,0.12649110640673517,1
0.02,0.29401417807046437,0.6544668294775356,0.12649110640673517,1
0.02,0.3576246653939299,-0.43945588825295767,0.12649110640673517,1
0.02,0.27340551244321337,-0.5233513881782091,0.12649110640673517,1
0.02,0.70691808648545,-0.07956561521204861,0.12649110640673517,1
0.02,0.14498343505789904,0.06198901559362809,0.12649110640673517,1
0.02,0.49304994645102856,0.195573320919508,0.12649110640673517,1
0.02,0.037685273906715104,-0.7251675904040435,0.12649110640673517,1
0.02,-0.2708261601245975,0.08366773389258428,0.12649110640673517,1
0.02,-0.29831723896334267,0.5495846809020684,0.12649110640673517,1
0.02,-0.08629431708152341,-0.034622984315576054,0.12649110640673517,1
0.02,-0.025090997822944727,-0.6854486948223536,0.12649110640673517,1
0.02,0.057539778738618014,0.016509667915733488,0.12649110640673517,1
0.02,-0.2403950174567132,0.5290780918669777,0.12649110640673517,1
0.02,-0.1900588739482925,0.4082379793121397,0.12649110640673517,1
0.02,-0.10860284338115647,-0.16064270608204836,0.12649110640673517,1
0.02,0.0625726090885945,-0.4360347517491182,0.12649110640673517,1
0.02,0.08065148577842125,0.09389453636444713,0.12649110640673517,1
0.02,0.5523902498538209,-0.380888547307099,0.12649110640673517,1
0.02,-0.14288239475238582,-0.6549274379478384,0.12649110640673517,1
0.02,0.16676430260932146,0.3783901098743694,0.12649110640673517,1
0.02,-0.1863268677989198,-0.42460341891210773,0.12649110640673517,1
0.02,0.22949093963834397,-0.006616967004576806,0.12649110640673517,1
0.02,0.046893218379436406,0.07497504242546173,0.12649110640673517,1
0.02,-0.1425508264655428,0.056050338929276626,0.12649110640673517,1
0.02,-0.1349733653247905,0.38460368763743297,0.12649110640673517,1
0.02,-0.4392646480495463,-0.4458269642983501,0.12649110640673517,1
0.02,0.16682912549154214,0.013889735456618025,0.12649110640673517,1
0.02,-0.07663095322015276,0.4181014482800183,0.12649110640673517,1
0.02,0.5734826149738899,0.3245518709713478,0.12649110640673517,1
0.02,0.14860580915920757,-0.07674700684505509,0.12649110640673517,1
0.02,-0.1728307007103201,0.6695553799915485,0.12649110640673517,1
0.02,0.5254129623753813,-0.20035468023479347,0.12649110640673517,1
0.02,-0.4234338210258766,0.257656886993855,0.12649110640673517,1
0.02,0.6207989942234963,-0.11941790748705,0.12649110640673517,1
0.02,0.4281414138991924,-0.4120467551196656,0.12649110640673517,1
0.02,0.44279850905551593,0.24450472353431138,0.12649110640673517,1
0.02,-0.36218063839678993,0.5068529867541999,0.12649110640673517,1
0.02,-0.42008579781187216,-0.35522083599787085,0.12649110640673517,1
0.02,-0.46127371375319753,-0.4150246297900535,0.12649110640673517,1
0.02,0.21758576646557412,0.6887663441089389,0.12649110640673517,1
0.02,0.2648982323870419,-0.1273535242237908,0.12649110640673517,1
0.02,0.2299986063565283,-0.6330508084463339,0.12649110640673517,1
0.02,0.5502906651611384,0.41280228152347287,0.12649110640673517,1
0.02,-0.6769473270948222,-0.1918816093760399,0.12649110640673517,1
0.02,-0.5302201641153037,-0.3256637151162013,0.12649110640673517,1
0.02,0.4094319307639099,-0.2227006918030003,0.12649110640673517,1
0.02,0.08463885443360704,0.1911830397924999,0.12649110640673517,1
0.02,-0.258156257757319,0.36565003681743574,0.12649110640673517,1
0.02,0.29504872652306885,-0.21767863813686184,0.12649110640673517,1
0.02,-0.054011216162465674,0.11802098586050405,0.12649110640673517,1
0.02,-0.07603264784229098,0.5965645698984059,0.12649110640673517,1
0.02,0.5457895418075562,0.0914739358023115,0.12649110640673517,1
0.02,0.38695519576505466,0.22749434643453964,0.12649110640673517,1
0.02,0.40763107672248045,0.019942646925633245,0.12649110640673517,1
0.02,-0.7366110515684352,-0.006401897184710248,0.12649110640673517,1
0.02,-0.029645861700241728,0.6608245057595519,0.12649110640673517,1
0.02,0.5470382310786487,0.04753084665058643,0.12649110640673517,1
0.02,-0.021591616233336445,0.29196309255977104,0.12649110640673517,1
0.02,-0.45329172713922317,-0.4867015826426804,0.12649110640673517,1
0.02,0.5260476188089611,0.39886303279012525,0.12649110640673517,1
0.02,-0.09616862201954066,0.25298743428940845,0.12649110640673517,1
0.02,0.3161548895924883,-0.6004303708790907,0.12649110640673517,1
0.02,0.17148292627893538,0.6375200440620954,0.12649110640673517,1
0.02,0.5670146987953967,-0.20308958750965822,0.12649110640673517,1
0.02,0.26189391798832695,-0.5594123636605896,0.12649110640673517,1
0.02,-0.4420061634417703,-0.5212311841631415,0.12649110640673517,1
0.02,0.4998409138771223,-0.4371105803467642,0.12649110640673517,1
0.02,-0.3910158756800245,-0.6386816839444645,0.12649110640673517,1
0.02,0.6662625993134128,-0.07190436696880224,0.12649110640673517,1
0.02,0.10191264758493386,-0.4960007947109275,0.12649110640673517,1
0.02,0.35606244756490457,0.5207525346843143,0.12649110640673517,1
0.02,-0.18042783293550788,-0.021500235507929646,0.12649110640673517,1
0.02,0.6709202353947453,0.2813951562292097,0.12649110640673517,1
0.02,0.32130389925783615,-0.21477423440939233,0.12649110640673517,1
0.02,0.05081322303215819,0.17168067361628186,0.12649110640673517,1
